timestamp,energy_required_kwh,generation_solar_kwh,generation_wind_kwh,generation_hydro_kwh,total_generated_kwh,source_solar_kwh,source_wind_kwh,source_hydro_kwh,source_coal_kwh,rate_solar_inr,rate_wind_inr,rate_hydro_inr,rate_coal_inr,total_cost_inr,average_unit_price_inr,grid_provider
2025-01-01 00:00:00,504.22,0.0,15.71,121.19,136.9,0.0,15.71,121.19,367.32,2.16,3.2,5.02,5.27,2594.42,5.15,Tata Power
2025-01-01 00:15:00,507.55,117.6,47.4,127.75,175.15,117.6,47.4,127.75,332.4,2.23,3.06,5.08,4.97,2446.04,4.82,Torrent Power
2025-01-01 00:30:00,493.33,0.0,11.38,126.19,137.57,0.0,11.38,126.19,355.76,2.22,3.28,5.19,5.41,2616.91,5.3,CESC
2025-01-01 00:45:00,513.22,0.0,73.86,118.04,191.9,0.0,73.86,118.04,321.32,2.28,3.21,5.01,4.96,2422.22,4.72,CESC
2025-01-01 01:00:00,490.84,0.0,31.36,120.93,152.29,0.0,31.36,120.93,338.55,2.0,3.22,5.14,4.96,2401.77,4.89,Torrent Power
2025-01-01 01:15:00,474.83,0.0,52.66,121.03,173.69,0.0,52.66,121.03,301.14,2.12,3.15,5.09,4.77,2218.36,4.67,Tata Power
2025-01-01 01:30:00,503.08,0.0,47.8,127.76,175.56,0.0,47.8,127.76,327.52,2.42,3.03,4.72,4.82,2326.51,4.62,State DISCOM
2025-01-01 01:45:00,492.95,0.0,50.85,122.0,172.85,0.0,50.85,122.0,320.1,2.18,3.12,5.47,5.23,2500.12,5.07,Torrent Power
2025-01-01 02:00:00,486.97,0.0,35.55,122.53,158.08,0.0,35.55,122.53,328.89,2.38,3.04,5.38,5.49,2572.89,5.28,Tata Power
2025-01-01 02:15:00,520.31,0.0,42.06,118.29,160.35,0.0,42.06,118.29,359.96,2.33,3.05,5.29,4.69,2442.25,4.69,CESC
2025-01-01 02:30:00,500.5,0.0,58.86,119.55,178.41,0.0,58.86,119.55,322.09,2.42,3.13,5.48,5.35,2562.55,5.12,State DISCOM
2025-01-01 02:45:00,514.5,0.0,39.07,119.73,158.8,0.0,39.07,119.73,333.21,2.33,3.3,4.6,5.42,2607.58,5.07,Adani Power
2025-01-01 03:00:00,506.36,0.0,33.4,126.59,159.99,0.0,33.4,126.59,346.37,2.05,3.07,4.61,5.01,2421.43,4.78,Tata Power
2025-01-01 03:15:00,465.28,0.0,12.98,121.19,134.17,0.0,12.98,121.19,331.11,2.33,3.29,5.22,5.25,2413.64,5.19,Tata Power
